Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,23.321039185866315,23.68662010771098,23.298189833492483,23.572376251220703,38409100,0.0,0.0
2010-01-05 00:00:00-05:00,23.49620663498576,23.68661349353072,23.33626411840969,23.579984664916992,49749600,0.0,0.0
2010-01-06 00:00:00-05:00,23.51905214558924,23.671378198068762,23.24486728489055,23.435274124145508,58182400,0.0,0.0
2010-01-07 00:00:00-05:00,23.328646735597378,23.381961874113866,22.993531723913353,23.19155502319336,50559700,0.0,0.0
2010-01-08 00:00:00-05:00,23.062076089060476,23.519051325180715,23.03161029855174,23.35149383544922,51197400,0.0,0.0
2010-01-11 00:00:00-05:00,23.389581323046897,23.427663572095067,22.940222405792618,23.054466247558594,68754700,0.0,0.0
2010-01-12 00:00:00-05:00,22.96306215848016,23.153468978123758,22.780271785944958,22.902132034301758,65912100,0.0,0.0
2010-01-13 00:00:00-05:00,23.046846100336033,23.244869405549778,22.856439243710014,23.115392684936523,51863500,0.0,0.0
2010-01-14 00:00:00-05:00,23.084927123237907,23.68661349353072,23.046846332604535,23.579984664916992,63228100,0.0,0.0
2010-01-15 00:00:00-05:00,23.67137407097706,23.79323431063885,23.389571358828764,23.503816604614258,79913200,0.0,0.0
2010-01-19 00:00:00-05:00,23.420041309123132,23.79323854102714,23.366727626378115,23.68661117553711,46575700,0.0,0.0
2010-01-20 00:00:00-05:00,23.465740954529075,23.564753334960184,23.08492723558584,23.29818344116211,54849500,0.0,0.0
2010-01-21 00:00:00-05:00,23.31341634382693,23.397194374184792,22.84882314175083,22.8564395904541,73086700,0.0,0.0
2010-01-22 00:00:00-05:00,22.848817588705547,23.001143620372396,21.965330091490692,22.056724548339844,102004600,0.0,0.0
2010-01-25 00:00:00-05:00,22.269992924874224,22.589876604789694,22.163365515798898,22.330923080444336,63373000,0.0,0.0
2010-01-26 00:00:00-05:00,22.239518517135522,22.73457598887306,22.155739046351577,22.468006134033203,66639900,0.0,0.0
2010-01-27 00:00:00-05:00,22.353758397331884,22.711722654949796,22.102421481836632,22.59747886657715,63949500,0.0,0.0
2010-01-28 00:00:00-05:00,22.726961813174572,22.749811158224002,22.003415199521516,22.209054946899414,117513700,0.0,0.0
2010-01-29 00:00:00-05:00,22.772660432348662,22.787893329972558,21.06661512107718,21.462661743164062,193888500,0.0,0.0
2010-02-01 00:00:00-05:00,21.622605464153846,21.691152059185868,21.264641042189368,21.63783836364746,85931100,0.0,0.0
2010-02-02 00:00:00-05:00,21.607375339911854,21.706386287302205,21.432199890391484,21.675920486450195,54413700,0.0,0.0
2010-02-03 00:00:00-05:00,21.523593759155585,21.927256865278736,21.416966371861967,21.805395126342773,61397900,0.0,0.0
